WWR,Tvis,N_aletas,angulo,largura,direcao,UDI
0.1,0.1,1,0,0.1,135,16.2
0.1,295,1,0,0.1,135,39.8
0.1,0.49,1,0,0.1,135,52.9
0.1,685,1,0,0.1,135,62.2
0.1,0.88,1,0,0.1,135,69.9
0.1,0.1,1,22.25,0.1,135,16.2
0.1,295,1,22.25,0.1,135,39.6
0.1,0.49,1,22.25,0.1,135,52.3
0.1,685,1,22.25,0.1,135,61.8
0.1,0.88,1,22.25,0.1,135,69.8
0.1,0.1,1,44.5,0.1,135,16
0.1,295,1,44.5,0.1,135,39.6
0.1,0.49,1,44.5,0.1,135,52.9
0.1,685,1,44.5,0.1,135,62.3
0.1,0.88,1,44.5,0.1,135,70.6
0.1,0.1,1,66.75,0.1,135,15.5
0.1,295,1,66.75,0.1,135,39.2
0.1,0.49,1,66.75,0.1,135,52.2
0.1,685,1,66.75,0.1,135,61.2
0.1,0.88,1,66.75,0.1,135,70
0.1,0.1,1,89,0.1,135,15.8
0.1,295,1,89,0.1,135,39.3
0.1,0.49,1,89,0.1,135,51.6
0.1,685,1,89,0.1,135,61.6
0.1,0.88,1,89,0.1,135,69.3
0.1,0.1,1,0,0.1,157.5,15.6
0.1,295,1,0,0.1,157.5,40.1
0.1,0.49,1,0,0.1,157.5,52.4
0.1,685,1,0,0.1,157.5,62.1
0.1,0.88,1,0,0.1,157.5,70.1
0.1,0.1,1,22.25,0.1,157.5,15.6
0.1,295,1,22.25,0.1,157.5,40.4
0.1,0.49,1,22.25,0.1,157.5,52.7
0.1,685,1,22.25,0.1,157.5,60.9
0.1,0.88,1,22.25,0.1,157.5,70.2
0.1,0.1,1,44.5,0.1,157.5,16.1
0.1,295,1,44.5,0.1,157.5,39.2
0.1,0.49,1,44.5,0.1,157.5,52.2
0.1,685,1,44.5,0.1,157.5,60.8
0.1,0.88,1,44.5,0.1,157.5,68.3
0.1,0.1,1,66.75,0.1,157.5,15.9
0.1,295,1,66.75,0.1,157.5,39.4
0.1,0.49,1,66.75,0.1,157.5,52.1
0.1,685,1,66.75,0.1,157.5,61.8
0.1,0.88,1,66.75,0.1,157.5,69.2
0.1,0.1,1,89,0.1,157.5,15.9
0.1,295,1,89,0.1,157.5,39.4
0.1,0.49,1,89,0.1,157.5,51.8
0.1,685,1,89,0.1,157.5,61.6
0.1,0.88,1,89,0.1,157.5,69.7
0.1,0.1,1,0,375,0,15.9
0.1,295,1,0,375,0,39.4
0.1,0.49,1,0,375,0,51.1
0.1,685,1,0,375,0,61.4
0.1,0.88,1,0,375,0,70
0.1,0.1,1,22.25,375,0,16.5
0.1,295,1,22.25,375,0,39
0.1,0.49,1,22.25,375,0,52.1
0.1,685,1,22.25,375,0,61.6
0.1,0.88,1,22.25,375,0,69.3
0.1,0.1,1,44.5,375,0,16.1
0.1,295,1,44.5,375,0,40.1
0.1,0.49,1,44.5,375,0,52.2
0.1,685,1,44.5,375,0,61.8
0.1,0.88,1,44.5,375,0,69.5
0.1,0.1,1,66.75,375,0,16
0.1,295,1,66.75,375,0,39.7
0.1,0.49,1,66.75,375,0,52.6
0.1,685,1,66.75,375,0,61.6
0.1,0.88,1,66.75,375,0,70.2
0.1,0.1,1,89,375,0,16.2
0.1,295,1,89,375,0,40.1
0.1,0.49,1,89,375,0,51.9
0.1,685,1,89,375,0,62
0.1,0.88,1,89,375,0,69.5
0.1,0.1,1,0,375,22.5,15.6
0.1,295,1,0,375,22.5,39.1
0.1,0.49,1,0,375,22.5,52
